gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
LOLTMNT03_107571,T1,0,19,7,20,1.3,0,1,1,2,0,2,66090,262,33881
LOLTMNT03_107601,T1,1,57,20,7,11,4,1,5,7,1,8,100671,264,39753
LOLTMNT03_109596,T1,0,6,5,23,0.47826087,2,0,2,2,0,2,107614,350,42832
LOLTMNT03_109620,T1,1,34,18,15,3.466666667,2,1,3,11,3,14,88050,262,40771
LOLTMNT03_109634,T1,1,31,13,7,6.285714286,2,1,3,7,1,8,77539,302,36908
LOLTMNT03_111473,T1,1,42,16,4,14.5,3,0,3,8,1,9,60201,253,35119
LOLTMNT03_112180,T1,1,60,21,8,10.125,4,1,5,8,1,9,85532,239,41254
LOLTMNT03_115479,T1,1,29,17,8,5.75,0,1,1,10,1,11,66367,191,35731
LOLTMNT03_116496,T1,0,23,9,18,1.777777778,1,0,1,6,0,6,81180,294,38612
LOLTMNT03_116507,T1,1,56,23,18,4.388888889,2,1,3,9,2,11,88273,253,41155
LOLTMNT03_118804,T1,0,27,12,11,3.545454545,3,1,4,6,0,6,93045,385,48502
LOLTMNT03_118842,T1,1,25,11,3,12,1,1,2,8,1,9,74984,289,40630
LOLTMNT03_118880,T1,0,27,11,13,2.923076923,4,2,6,5,0,5,85487,312,39208
LOLTMNT03_127225,T1,0,6,2,13,0.615384615,2,0,2,2,0,2,64744,229,28446
LOLTMNT03_128221,T1,1,38,16,2,27,2,1,3,9,1,10,69906,240,37983
LOLTMNT03_127246,T1,0,0,0,8,0,3,0,3,2,0,2,59853,214,29400
LOLTMNT03_129062,T1,0,23,7,15,2,2,0,2,4,0,4,66446,215,30804
LOLTMNT03_129067,T1,0,3,3,15,0.4,0,0,0,1,0,1,56435,243,29396
LOLTMNT01_152156,T1,1,34,16,4,12.5,4,2,6,11,3,14,64673,310,45168
LOLTMNT01_152162,T1,0,27,11,22,1.727272727,1,1,2,3,0,3,75700,277,37945
LOLTMNT01_152170,T1,1,38,17,8,6.875,2,1,3,10,2,12,70800,307,42449
LOLTMNT01_151950,T1,1,64,26,20,4.5,4,0,4,10,2,12,157980,433,56613
LOLTMNT01_151960,T1,1,25,11,3,12,3,1,4,10,2,12,69832,235,39022
LOLTMNT01_153827,T1,0,26,13,12,3.25,3,1,4,3,0,3,115027,453,49639
LOLTMNT01_154710,T1,1,40,16,5,11.2,4,1,5,11,3,14,81313,246,39870
LOLTMNT01_154728,T1,1,48,17,9,7.222222222,4,1,5,8,1,9,76499,253,38625
LOLTMNT01_155488,T1,0,42,18,16,3.75,3,2,5,6,0,6,151674,368,49751
LOLTMNT01_155499,T1,0,18,8,11,2.363636364,1,0,1,1,0,1,63273,292,33129
LOLTMNT02_151414,T1,0,10,5,20,0.75,1,0,1,2,0,2,56682,245,30495
LOLTMNT02_151430,T1,0,25,10,24,1.458333333,1,0,1,3,0,3,93897,312,40861
LOLTMNT02_153808,T1,1,14,11,7,3.571428571,5,0,5,8,1,9,60167,301,39039
LOLTMNT02_154335,T1,1,43,18,5,12.2,3,1,4,11,2,13,78913,237,39487
LOLTMNT02_155898,T1,0,8,6,17,0.823529412,0,1,1,4,0,4,70326,267,37309
LOLTMNT02_156515,T1,1,53,23,12,6.333333333,3,1,4,9,1,10,86390,244,40998
LOLTMNT02_155935,T1,1,35,17,4,13,4,2,6,11,2,13,94362,306,48534
LOLTMNT02_158466,T1,1,26,12,4,9.5,3,1,4,11,3,14,55596,272,42545
LOLTMNT02_157857,T1,1,66,23,7,12.71428571,3,2,5,10,1,11,86873,331,44663
LOLTMNT03_138902,T1,1,29,13,10,4.2,3,0,3,9,1,10,80082,319,44135
LOLTMNT03_139091,T1,0,24,9,16,2.0625,3,0,3,1,0,1,54743,252,28420
LOLTMNT03_138906,T1,1,18,8,4,6.5,2,1,3,9,1,10,61354,319,42168
LOLTMNT03_139097,T1,1,18,7,7,3.571428571,2,1,3,8,1,9,80288,320,39641
LOLTMNT03_143512,T1,0,7,4,18,0.611111111,2,0,2,4,0,4,57133,261,33226
LOLTMNT03_142511,T1,0,27,14,27,1.518518519,2,1,3,4,0,4,108860,371,44086
LOLTMNT03_142514,T1,0,22,7,26,1.115384615,0,0,0,3,0,3,68391,241,29895
LOLTMNT03_145467,T1,0,6,3,9,1,2,0,2,3,0,3,40730,254,33428
LOLTMNT03_145472,T1,1,55,20,13,5.769230769,3,0,3,8,1,9,111428,231,38338
LOLTMNT03_144583,T1,1,41,21,7,8.857142857,4,1,5,10,2,12,89018,234,39756
LOLTMNT03_145485,T1,1,37,18,9,6.111111111,1,1,2,8,1,9,71744,248,39073
LOLTMNT03_147323,T1,0,8,5,17,0.764705882,1,1,2,3,0,3,70043,212,30414
LOLTMNT03_146452,T1,1,20,9,10,2.9,3,2,5,9,1,10,113160,346,47625
LOLTMNT03_146454,T1,0,4,3,16,0.4375,0,0,0,2,0,2,47224,197,23756
LOLTMNT03_146456,T1,0,11,6,15,1.133333333,1,0,1,4,0,4,101458,336,38122
LOLTMNT03_146711,T1,1,31,16,15,3.133333333,5,1,6,9,1,10,89624,441,51704
LOLTMNT03_146712,T1,0,30,10,14,2.857142857,3,1,4,4,0,4,69309,277,37984
LOLTMNT03_146714,T1,1,37,15,8,6.5,4,2,6,9,1,10,116921,472,58958
LOLTMNT03_146716,T1,0,28,13,18,2.277777778,1,0,1,3,0,3,89049,358,45384
LOLTMNT03_146720,T1,0,12,6,15,1.2,1,0,1,3,0,3,56244,284,31429
LOLTMNT03_146795,T1,1,29,13,6,7,3,1,4,11,3,14,80257,238,37634
LOLTMNT03_146796,T1,0,17,8,25,1,2,0,2,2,0,2,66617,271,28597
LOLTMNT03_146797,T1,1,31,12,2,21.5,3,1,4,9,1,10,58432,281,38507
LOLTMNT03_146798,T1,0,13,5,18,1,3,0,3,2,0,2,82876,308,35102
LOLTMNT03_146799,T1,1,22,10,8,4,3,1,4,9,1,10,70183,261,41572
ESPORTSTMNT04_2660040,T1,1,46,18,12,5.333333333,2,2,4,9,2,11,91296,313,46322
ESPORTSTMNT04_2661049,T1,1,65,24,6,14.83333333,3,1,4,10,1,11,84404,241,43738
ESPORTSTMNT04_2665115,T1,0,10,3,13,1,1,0,1,3,0,3,39222,199,25255
ESPORTSTMNT04_2664115,T1,1,39,15,6,9,2,1,3,8,1,9,67881,281,38826
ESPORTSTMNT04_2663131,T1,1,41,16,2,28.5,3,1,4,11,2,13,59376,187,33698
ESPORTSTMNT03_3090563,T1,1,28,12,3,13.33333333,4,1,5,11,3,14,61065,236,35623
ESPORTSTMNT03_3090572,T1,1,25,14,15,2.6,3,1,4,10,2,12,68929,234,32852
ESPORTSTMNT03_3093250,T1,0,9,4,12,1.083333333,2,1,3,6,0,6,68498,324,37730
ESPORTSTMNT03_3093271,T1,1,43,16,15,3.933333333,3,1,4,10,2,12,80102,300,43760
ESPORTSTMNT03_3094238,T1,1,36,14,8,6.25,4,1,5,8,1,9,62875,272,35216
ESPORTSTMNT03_3098229,T1,1,49,18,11,6.090909091,4,3,7,11,3,14,122418,499,56852
ESPORTSTMNT03_3100173,T1,0,7,3,19,0.526315789,2,1,3,3,0,3,68433,314,35652
ESPORTSTMNT03_3098275,T1,0,5,2,11,0.636363636,0,0,0,1,0,1,54221,169,25148
ESPORTSTMNT03_3098936,T1,1,31,16,8,5.875,4,2,6,11,2,13,70687,324,43578
ESPORTSTMNT03_3098971,T1,0,13,8,21,1,2,0,2,3,0,3,94538,291,32735
ESPORTSTMNT03_3098980,T1,1,29,13,4,10.5,4,1,5,10,2,12,73845,229,38988
ESPORTSTMNT01_3304899,T1,1,27,12,9,4.333333333,4,1,5,11,3,14,88570,343,43434
ESPORTSTMNT01_3304926,T1,1,47,18,9,7.222222222,4,1,5,10,2,12,72699,295,42343
ESPORTSTMNT01_3310923,T1,1,22,11,8,4.125,2,1,3,11,3,14,75526,334,41037
ESPORTSTMNT01_3309997,T1,1,34,19,7,7.571428571,3,1,4,9,2,11,79153,200,34593
ESPORTSTMNT02_3151319,T1,0,5,3,18,0.444444444,0,0,0,2,0,2,37998,180,24292
ESPORTSTMNT02_3151356,T1,1,50,27,4,19.25,3,1,4,9,1,10,65190,224,40375
ESPORTSTMNT02_3152336,T1,1,30,15,7,6.428571429,3,2,5,11,2,13,57228,348,45129
ESPORTSTMNT02_3154050,T1,0,32,15,26,1.807692308,2,2,4,4,0,4,90942,315,44311
ESPORTSTMNT02_3156036,T1,1,42,20,11,5.636363636,3,1,4,9,2,11,96913,283,39080
ESPORTSTMNT02_3155063,T1,1,34,14,11,4.363636364,3,1,4,8,1,9,102479,467,48160
ESPORTSTMNT02_3161391,T1,1,32,15,10,4.7,3,1,4,11,3,14,67893,265,39071
ESPORTSTMNT02_3162355,T1,1,47,24,12,5.916666667,4,1,5,10,1,11,76986,247,41862
ESPORTSTMNT02_3163421,T1,1,24,13,2,18.5,3,1,4,11,4,15,43751,193,33555
ESPORTSTMNT02_3164423,T1,1,38,18,9,6.222222222,4,1,5,11,2,13,75172,201,39061
ESPORTSTMNT03_3111569,T1,1,18,12,2,15,3,1,4,8,1,9,36606,158,31488
ESPORTSTMNT03_3113604,T1,1,42,23,10,6.5,4,2,6,10,3,13,86501,307,44416
ESPORTSTMNT03_3116279,T1,1,17,12,4,7.25,3,1,4,9,1,10,51373,155,29412
ESPORTSTMNT03_3115330,T1,1,32,15,9,5.222222222,4,2,6,11,4,15,81998,285,40315
ESPORTSTMNT03_3124078,T1,1,36,14,1,50,4,1,5,10,2,12,70626,194,35259
ESPORTSTMNT03_3125134,T1,1,26,10,10,3.6,4,1,5,10,2,12,74348,280,35692
ESPORTSTMNT03_3128023,T1,0,36,16,18,2.888888889,4,0,4,4,0,4,97586,420,42086
ESPORTSTMNT03_3126091,T1,1,49,22,9,7.888888889,5,1,6,8,1,9,106649,397,45132
ESPORTSTMNT03_3128073,T1,1,35,14,4,12.25,3,0,3,8,1,9,56250,187,29548
ESPORTSTMNT01_3324334,T1,1,27,11,6,6.333333333,2,1,3,8,1,9,49536,233,33880
ESPORTSTMNT01_3325316,T1,1,28,14,8,5.25,2,2,4,11,3,14,86245,420,47785
ESPORTSTMNT01_3327201,T1,1,17,14,6,5.166666667,3,1,4,9,1,10,57732,187,31953
ESPORTSTMNT01_3328186,T1,1,39,20,5,11.8,1,0,1,7,1,8,59033,127,31299
ESPORTSTMNT01_3332801,T1,1,20,10,1,30,5,1,6,11,4,15,62081,287,45157
ESPORTSTMNT01_3331791,T1,0,34,14,23,2.086956522,1,2,3,4,0,4,95062,364,43751
ESPORTSTMNT01_3331800,T1,1,31,15,5,9.2,4,1,5,10,3,13,60131,262,41354
ESPORTSTMNT01_3330869,T1,0,21,8,22,1.318181818,1,0,1,2,0,2,65282,311,36392
ESPORTSTMNT01_3331817,T1,1,74,33,27,3.962962963,2,3,5,11,6,17,148566,562,69687
ESPORTSTMNT01_3336792,T1,1,65,23,8,11,5,2,7,11,4,15,93398,334,49060
ESPORTSTMNT01_3338726,T1,1,59,19,14,5.571428571,5,1,6,8,2,10,105432,369,49480
ESPORTSTMNT01_3336831,T1,0,26,10,16,2.25,3,2,5,9,3,12,74235,399,46685
ESPORTSTMNT01_3336846,T1,1,42,14,7,8,4,1,5,9,1,10,76343,271,34949
ESPORTSTMNT01_3344120,T1,0,16,6,22,1,2,1,3,4,0,4,61253,353,38660
ESPORTSTMNT01_3344136,T1,0,24,9,19,1.736842105,2,0,2,3,0,3,66232,330,37600
ESPORTSTMNT01_3344140,T1,1,30,12,9,4.666666667,1,1,2,9,2,11,71730,191,33186
ESPORTSTMNT01_3344160,T1,0,26,14,19,2.105263158,3,0,3,4,0,4,85064,285,37305
ESPORTSTMNT04_2674856,T1,1,69,28,23,4.217391304,3,2,5,7,1,8,80513,332,43965
ESPORTSTMNT04_2674867,T1,1,46,20,5,13.2,3,1,4,11,3,14,54626,186,33768
ESPORTSTMNT04_2673879,T1,1,34,19,5,10.6,2,0,2,7,1,8,38229,96,25455
ESPORTSTMNT04_2673966,T1,1,29,12,4,10.25,4,2,6,10,2,12,79997,345,43158
ESPORTSTMNT04_2674965,T1,1,50,18,9,7.555555556,4,1,5,10,2,12,57393,209,34499
ESPORTSTMNT04_2674967,T1,0,33,16,17,2.882352941,3,1,4,8,1,9,71722,276,36367
ESPORTSTMNT04_2674968,T1,0,15,7,20,1.1,3,0,3,1,0,1,63046,251,28184
ESPORTSTMNT04_2673984,T1,1,15,7,3,7.333333333,3,0,3,6,1,7,34983,191,28454
ESPORTSTMNT04_2679094,T1,0,11,3,17,0.823529412,0,0,0,2,0,2,41637,226,25813
ESPORTSTMNT04_2677137,T1,1,20,9,9,3.222222222,1,0,1,6,1,7,47302,178,27957
ESPORTSTMNT04_2679107,T1,1,37,12,10,4.9,2,0,2,6,1,7,52740,212,28712
ESPORTSTMNT04_2679108,T1,0,18,7,16,1.5625,1,0,1,3,0,3,41686,280,30852
ESPORTSTMNT04_2679110,T1,0,26,9,16,2.1875,2,1,3,5,0,5,95331,305,38722
ESPORTSTMNT04_2679153,T1,0,31,14,23,1.956521739,4,2,6,6,0,6,90580,421,50374
ESPORTSTMNT04_2679169,T1,0,8,4,14,0.857142857,0,0,0,2,0,2,47302,178,25932
ESPORTSTMNT04_2679171,T1,1,38,20,8,7.25,5,2,7,11,3,14,76831,321,44895
ESPORTSTMNT04_2677203,T1,0,22,11,16,2.0625,1,0,1,3,0,3,66011,318,40699
ESPORTSTMNT03_3168168,T1,0,25,7,14,2.285714286,4,1,5,7,1,8,86390,387,49296
