gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
4304-5430,Bilibili Gaming,1,28,11,5,7.8,2,1,3,9,2,11,72455,303,44772
4304-5431,Bilibili Gaming,1,70,26,6,16,4,1,5,11,3,14,77618,253,42961
4316-5459,Bilibili Gaming,1,38,15,10,5.3,3,2,5,11,2,13,70598,303,47737
4316-5460,Bilibili Gaming,0,9,3,17,0.705882353,2,0,2,3,0,3,62249,279,35728
4316-5461,Bilibili Gaming,1,48,20,9,7.555555556,2,1,3,11,3,14,92436,291,49090
4327-5548,Bilibili Gaming,1,42,19,8,7.625,2,1,3,10,2,12,60725,247,45364
4327-5552,Bilibili Gaming,1,33,12,8,5.625,2,1,3,9,1,10,77325,215,37891
4332-5581,Bilibili Gaming,1,29,15,8,5.5,4,1,5,11,3,14,72331,310,44601
4332-5582,Bilibili Gaming,1,46,18,6,10.66666667,2,1,3,9,1,10,57076,181,39630
4342-5659,Bilibili Gaming,1,45,14,2,29.5,3,2,5,11,5,16,64425,351,46080
4342-5660,Bilibili Gaming,1,57,21,12,6.5,4,0,4,8,1,9,103148,355,49142
4348-5706,Bilibili Gaming,1,37,13,6,8.333333333,2,1,3,8,1,9,83022,360,48661
