gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
9257-9257_game_1,LGD Gaming Young Team,0,20,7,14,1.928571429,3,0,3,3,0,3,47302,227,31075
9257-9257_game_2,LGD Gaming Young Team,0,23,10,20,1.65,3,0,3,3,0,3,64405,181,32237
9331-9331_game_1,LGD Gaming,0,9,3,18,0.666666667,0,0,0,3,0,3,28092,134,22028
9331-9331_game_2,LGD Gaming,0,6,5,11,1,2,0,2,3,0,3,46769,284,34552
9271-9271_game_1,LGD Gaming Young Team,1,22,8,6,5,3,0,3,7,1,8,57865,234,34431
9271-9271_game_2,LGD Gaming Young Team,1,43,18,3,20.33333333,4,1,5,8,1,9,56060,178,32080
9339-9339_game_1,LGD Gaming,0,24,11,13,2.692307692,0,0,0,1,0,1,67907,207,31568
9339-9339_game_2,LGD Gaming,1,45,18,5,12.6,4,1,5,9,3,12,60798,275,40033
9339-9339_game_3,LGD Gaming,1,46,24,7,10,4,2,6,8,1,9,83640,288,46361
9364-9364_game_1,LGD Gaming Young Team,0,20,9,17,1.705882353,1,0,1,1,0,1,54137,192,26893
9364-9364_game_2,LGD Gaming Young Team,0,20,7,30,0.9,0,0,0,2,0,2,41655,111,21668
9364-9364_game_3,LGD Gaming Young Team,1,41,16,5,11.4,2,1,3,11,2,13,69085,223,40524
9364-9364_game_4,LGD Gaming Young Team,0,11,6,16,1.0625,1,0,1,3,0,3,46482,155,25023
9345-9345_game_1,LGD Gaming,1,52,22,16,4.625,4,1,5,7,1,8,91008,292,44627
9345-9345_game_2,LGD Gaming,0,2,2,13,0.307692308,0,0,0,1,0,1,24102,142,19961
9345-9345_game_3,LGD Gaming,0,15,6,12,1.75,0,0,0,3,0,3,37519,208,27874
9350-9350_game_1,LGD Gaming,0,25,12,27,1.37037037,0,0,0,4,0,4,82923,166,34500
9350-9350_game_2,LGD Gaming,1,42,21,15,4.2,3,0,3,7,1,8,71613,345,48284
